#  New York (Central Park), New York January Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1895-2026
Date,Value,Anomaly
189501,29.4,-2.3
189601,28.1,-3.6
189701,28.9,-2.8
189801,33.5,1.8
189901,29.5,-2.2
190001,30.6,-1.1
190101,31,-0.7
190201,28.9,-2.8
190301,28.9,-2.8
190401,23.7,-8
190501,27,-4.7
190601,36.1,4.4
190701,32.6,0.9
190801,30.7,-1
190901,32,0.3
191001,29.9,-1.8
191101,34.6,2.9
191201,22.7,-9
191301,39.8,8.1
191401,30.5,-1.2
191501,33.4,1.7
191601,34.9,3.2
191701,31.8,0.1
191801,20.7,-11
191901,34.6,2.9
192001,22.9,-8.8
192101,32.9,1.2
192201,27.7,-4
192301,29.4,-2.3
192401,31.6,-0.1
192501,27.4,-4.3
192601,30.9,-0.8
192701,29.9,-1.8
192801,32.9,1.2
192901,30.9,-0.8
193001,32.3,0.6
193101,31.7,0
193201,42.2,10.5
193301,39.3,7.6
193401,33.6,1.9
193501,27.8,-3.9
193601,28.3,-3.4
193701,39.2,7.5
193801,31.1,-0.6
193901,31.2,-0.5
194001,23.9,-7.8
194101,28.4,-3.3
194201,29.7,-2
194301,29.7,-2
194401,32.9,1.2
194501,24.2,-7.5
194601,33.1,1.4
194701,36.1,4.4
194801,24.4,-7.3
194901,37.6,5.9
195001,40.6,8.9
195101,35.4,3.7
195201,35.1,3.4
195301,36.6,4.9
195401,30,-1.7
195501,30.1,-1.6
195601,31.2,-0.5
195701,27.7,-4
195801,31.1,-0.6
195901,30.4,-1.3
196001,33.1,1.4
196101,26.4,-5.3
196201,30.6,-1.1
196301,29.3,-2.4
196401,34.8,3.1
196501,28.9,-2.8
196601,31.2,-0.5
196701,36.3,4.6
196801,25.6,-6.1
196901,30.7,-1
197001,24.1,-7.6
197101,25.9,-5.8
197201,34.3,2.6
197301,34.7,3
197401,34.4,2.7
197501,36.5,4.8
197601,26.8,-4.9
197701,21.6,-10.1
197801,27.4,-4.3
197901,31.3,-0.4
198001,32,0.3
198101,25.1,-6.6
198201,25,-6.7
198301,33.4,1.7
198401,28.7,-3
198501,27.7,-4
198601,33,1.3
198701,31.7,0
198801,29,-2.7
198901,36.8,5.1
199001,40.8,9.1
199101,34.3,2.6
199201,35.2,3.5
199301,35.8,4.1
199401,25,-6.7
199501,37,5.3
199601,30.8,-0.9
199701,32.5,0.8
199801,40.3,8.6
199901,34.2,2.5
200001,31.6,-0.1
200101,33.9,2.2
200201,40.2,8.5
200301,27.8,-3.9
200401,25,-6.7
200501,31.6,-0.1
200601,41.2,9.5
200701,37.8,6.1
200801,36.8,5.1
200901,28.2,-3.5
201001,32.8,1.1
201101,30,-1.7
201201,37.6,5.9
201301,35.4,3.7
201401,28.7,-3
201501,30,-1.7
201601,34.5,2.8
201701,38.1,6.4
201801,31.8,0.1
201901,32.6,0.9
202001,39.2,7.5
202101,34.8,3.1
202201,30.4,-1.3
202301,43.5,11.8
202401,37,5.3
202501,31.3,-0.4
202601,30.4,-1.3
